@relation .aatrieveatrieve
@attribute LOC6_0 real [15.0, 5408.0]
@attribute LOC6_1 real [15.0, 5336.0]
@attribute Added_LoC real [2.0, 524.0]
@attribute Del_LoC real [2.0, 594.0]
@attribute Diff_Block real [1.0, 96.0]
@attribute Mod_Rate real [0.0, 78.0]
@attribute Mod_Know real [1.0, 2.0]
@attribute ReusedLoC real [12.0, 4925.0]
@attribute class {1, 2}
@inputs LOC6_0, LOC6_1, Added_LoC, Del_LoC, Diff_Block, Mod_Rate, Mod_Know, ReusedLoC
@outputs class
@data
892.0, 869.0, 40.0, 63.0, 16.0, 11.0, 1.0, 829.0, 1
790.0, 750.0, 61.0, 101.0, 24.0, 19.0, 2.0, 689.0, 1
354.0, 329.0, 91.0, 116.0, 21.0, 47.0, 1.0, 238.0, 1
686.0, 676.0, 43.0, 53.0, 14.0, 13.0, 1.0, 633.0, 1
1233.0, 1209.0, 110.0, 134.0, 30.0, 18.0, 2.0, 1099.0, 1
1076.0, 1106.0, 130.0, 100.0, 33.0, 19.0, 2.0, 976.0, 1
420.0, 418.0, 76.0, 78.0, 18.0, 31.0, 1.0, 342.0, 1
15.0, 15.0, 3.0, 3.0, 3.0, 33.0, 1.0, 12.0, 1
192.0, 184.0, 15.0, 23.0, 5.0, 18.0, 1.0, 169.0, 1
1427.0, 1388.0, 57.0, 96.0, 23.0, 10.0, 1.0, 1331.0, 1
359.0, 361.0, 38.0, 36.0, 8.0, 19.0, 2.0, 323.0, 1
1154.0, 1133.0, 142.0, 163.0, 34.0, 24.0, 2.0, 991.0, 1
874.0, 864.0, 109.0, 119.0, 23.0, 23.0, 2.0, 755.0, 2
