@relation seeds
@attribute f1 real [-1.46322, 2.17633]
@attribute f2 real [-1.64575, 2.06034]
@attribute f3 real [-2.66188, 2.0018]
@attribute f4 real [-1.64657, 2.36189]
@attribute f5 real [-1.66423, 2.05021]
@attribute f6 real [-1.9521, 3.16303]
@attribute f7 real [-1.80897, 2.32345]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5, f6, f7
@outputs clase
@data
-0.253471, -0.351685, 0.850695, -0.470662, 0.114889, -0.665223, -0.83029, 1
-0.236287, -0.121968, -0.533173, 0.0665066, -0.343129, -0.41781, -0.472188, 1
-0.311896, -0.298084, 0.0762367, -0.0982553, -0.287531, -1.04831, -0.805874, 1
-0.579965, -0.772831, 1.26543, -1.10714, -0.152509, -0.824179, -1.27181, 1
0.224242, 0.230263, 0.465582, 0.560792, 0.363754, 0.672272, 0.244015, 1
-0.360011, -0.397628, 0.35555, -0.569971, -0.274294, -1.42343, -0.909642, 1
-0.143494, -0.121968, 0.173573, -0.0982553, 0.0354639, 0.182766, -0.537298, 1
0.781, 0.758611, 0.770287, 0.499853, 0.81383, -0.560139, 0.687573, 2
0.57823, 0.597809, 0.478278, 0.556278, 0.551727, 1.21831, 0.960218, 2
1.83953, 1.78468, 0.778751, 1.48165, 1.60279, 0.979543, 1.58486, 2
2.10416, 2.06034, 0.63063, 2.1091, 1.93902, 0.649659, 1.84733, 2
1.41337, 1.25633, 1.55321, 0.953513, 1.69015, 0.421533, 0.695711, 2
1.82578, 1.89188, 0.105861, 1.99625, 1.36186, -1.19064, 1.58079, 2
1.40649, 1.34822, 0.981887, 1.16341, 1.49953, -0.526885, 1.10061, 2
-0.610896, -0.489514, -0.973303, -0.353298, -0.700542, 1.06667, -0.026596, 3
-1.04049, -0.887689, -1.8451, -0.709906, -1.27505, 0.51265, -0.468119, 3
-1.17453, -1.09443, -1.58694, -1.02137, -1.42861, -0.983801, -0.561714, 3
-1.23983, -1.19398, -1.48538, -1.21548, -1.4392, -0.119185, -0.651239, 3
-0.82054, -0.880032, -0.0168676, -0.885953, -0.639649, 0.855836, -0.531194, 3
-1.12985, -0.956604, -2.16673, -0.599312, -1.52392, 0.240629, -0.45998, 3
-0.940827, -0.987233, -0.300412, -0.885953, -0.750844, 0.287185, -0.805874, 3
