@relation teaching
@attribute f1 real [-2.04427, 0.485933]
@attribute f2 real [-1.85215, 1.66393]
@attribute f3 real [-1.01168, 2.54759]
@attribute f4 real [-2.35125, 0.42249]
@attribute f5 real [-1.92865, 2.95743]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5
@outputs clase
@data
0.485933, -0.680125, -0.442198, 0.42249, -0.68774, 3
0.485933, -0.0941115, -0.726939, -2.35125, -1.38575, 2
0.485933, 0.638406, 1.83573, 0.42249, 0.0878293, 3
0.485933, -1.70565, 0.127285, 0.42249, 0.242943, 2
0.485933, -1.85215, 0.98151, -2.35125, -0.455069, 2
-2.04427, -0.0941115, -0.726939, -2.35125, -1.15308, 1
0.485933, -1.26614, -0.86931, 0.42249, 0.708285, 1
0.485933, 0.345399, -0.0150856, 0.42249, 0.630728, 1
-2.04427, 1.22442, -0.726939, 0.42249, 1.32874, 3
0.485933, -1.85215, -0.0150856, 0.42249, -0.765297, 2
0.485933, -0.680125, -0.299827, 0.42249, -1.61842, 3
-2.04427, -0.826629, -0.726939, 0.42249, 0.0878293, 3
0.485933, -0.240615, -0.0150856, 0.42249, -0.299955, 2
0.485933, 0.345399, 1.69336, 0.42249, -0.997967, 1
0.485933, 1.37092, -0.726939, 0.42249, -0.299955, 1
